BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

790	1520	790	35,7	790	0	790	1	790	5329,9
800	1521	800	32,1	800	0	800	1	800	5329,9
810	1522	810	27,2	810	0	810	1	810	5329,9
820	1523	820	30,7	820	0	820	1	820	5329,9
830	1524	830	38,5	830	0	830	1	830	5329,9
840	1525	840	28,6	840	0	840	1	840	5329,9
850	1526	850	99,3	850	0	850	1	850	5329,9
860	1527	860	34,5	860	0	860	1	860	5329,9
870	1528	870	34,3	870	0	870	1	870	5329,9
880	1529	880	42,7	880	0	880	1	880	5329,9
890	1530	890	35,3	890	0	890	1	890	5329,9
900	1531	900	81,4	900	0	900	1	900	5329,9
910	1532	910	21,3	910	0	910	1	910	5329,9
920	1533	920	40	920	0	920	1	920	5329,9
930	1534	930	34,1	930	0	930	1	930	5329,9
940	1535	940	41,8	940	0	940	1	940	5329,9
950	1536	950	41,4	950	0	950	1	950	5329,9
960	1537	960	31	960	0	960	1	960	5329,9
970	1538	970	18,8	970	0	970	1	970	5329,9
980	1539	980	37,4	980	0	980	1	980	5329,9
990	1540	990	36,8	990	0	990	1	990	5329,9
1000	1541	1000	20,8	1000	0	1000	1	1000	5329,9
1010	1542	1010	22,4	1010	0	1010	1	1010	5329,9
1020	1543	1020	41,8	1020	0	1020	1	1020	5329,9
1030	1544	1030	36,1	1030	0	1030	1	1030	5329,9
1040	1545	1040	47,5	1040	0	1040	1	1040	5329,9
1050	1546	1050	20,6	1050	0	1050	1	1050	5329,9
1060	1547	1060	43,1	1060	0	1060	1	1060	5329,9
1070	1548	1070	24,7	1070	0	1070	1	1070	5329,9
1080	1549	1080	23,9	1080	0	1080	1	1080	5329,9
1090	1550	1090	30,4	1090	0	1090	1	1090	5329,9
1100	1551	1100	22,5	1100	0	1100	1	1100	5329,9
1110	1552	1110	34,8	1110	0	1110	1	1110	5329,9
1120	1553	1120	23,8	1120	0	1120	1	1120	5329,9
1130	1554	1130	43,1	1130	0	1130	1	1130	5329,9
1140	1555	1140	24,7	1140	0	1140	1	1140	5329,9
1150	1556	1150	28	1150	0	1150	1	1150	5329,9
1160	1557	1160	41,5	1160	0	1160	1	1160	5329,9
1170	1558	1170	39,3	1170	0	1170	1	1170	5329,9
1180	1559	1180	35,3	1180	0	1180	1	1180	5329,9
1190	1560	1190	47,2	1190	0	1190	1	1190	5329,9
1200	1561	1200	19,6	1200	0	1200	1	1200	5329,9
1210	1562	1210	34,3	1210	0	1210	1	1210	5329,9
1220	1563	1220	42	1220	0	1220	1	1220	5329,9
1230	1564	1230	36,7	1230	0	1230	1	1230	5329,9
1240	1565	1240	36,2	1240	0	1240	1	1240	5329,9
1250	1566	1250	21,8	1250	0	1250	1	1250	5329,9
1260	1567	1260	24,5	1260	0	1260	1	1260	5329,9
1270	1568	1270	45,8	1270	0	1270	1	1270	5329,9
1280	1569	1280	40,8	1280	0	1280	1	1280	5329,9
1290	1570	1290	44,4	1290	0	1290	1	1290	5329,9
1300	1571	1300	41,8	1300	0	1300	1	1300	5329,9
1310	1572	1310	33,9	1310	0	1310	1	1310	5329,9
1320	1573	1320	46,7	1320	0	1320	1	1320	5329,9
1330	1574	1330	27,8	1330	0	1330	1	1330	5329,9
1340	1575	1340	42,5	1340	0	1340	1	1340	5329,9
1350	1576	1350	40,2	1350	0	1350	1	1350	5329,9
1360	1577	1360	30,3	1360	0	1360	1	1360	5329,9
1370	1578	1370	40,6	1370	0	1370	1	1370	5329,9
1380	1579	1380	45,5	1380	0	1380	1	1380	5329,9
1390	1580	1390	48,7	1390	0	1390	1	1390	5329,9
1400	1581	1400	42,3	1400	0	1400	1	1400	5329,9
1410	1582	1410	49,5	1410	0	1410	1	1410	5329,9
1420	1583	1420	54,5	1420	0	1420	1	1420	5329,9
1430	1584	1430	30,3	1430	0	1430	1	1430	5329,9
1440	1585	1440	41,7	1440	0	1440	1	1440	5329,9
1450	1586	1450	45,6	1450	0	1450	1	1450	5329,9
1460	1587	1460	45,8	1460	0	1460	1	1460	5329,9
1470	1588	1470	43,6	1470	0	1470	1	1470	5329,9
1480	1589	1480	39,5	1480	0	1480	1	1480	5329,9
1490	1590	1490	42,8	1490	0	1490	1	1490	5329,9
1500	1591	1500	46,3	1500	0	1500	1	1500	5329,9
1510	1592	1510	43,1	1510	0	1510	1	1510	5329,9
1520	1593	1520	48,9	1520	0	1520	1	1520	5329,9
1530	1594	1530	44,3	1530	0	1530	1	1530	5329,9
1540	1595	1540	41,8	1540	0	1540	1	1540	5329,9
1550	1596	1550	54,1	1550	0	1550	1	1550	5329,9
1560	1597	1560	35,5	1560	0	1560	1	1560	5329,9
1570	1598	1570	52,6	1570	0	1570	1	1570	5329,9
1580	1599	1580	43,8	1580	0	1580	1	1580	5329,9
1590	1600	1590	45,2	1590	0	1590	3	1590	5329,9
1600	1601	1600	65,8	1600	0	1600	1	1600	5329,9
1610	1602	1610	46,7	1610	0	1610	1	1610	5329,9
1620	1603	1620	53	1620	0	1620	1	1620	5329,9
1630	1604	1630	37,3	1630	0	1630	1	1630	5329,9
1640	1605	1640	23	1640	0	1640	1	1640	5329,9
1650	1606	1650	40,3	1650	0	1650	1	1650	5329,9
1660	1607	1660	28,1	1660	0	1660	1	1660	5329,9
1670	1608	1670	43,6	1670	0	1670	1	1670	5329,9
1680	1609	1680	27,1	1680	0	1680	1	1680	5329,9
1690	1610	1690	41	1690	0	1690	1	1690	5329,9
1700	1611	1700	42,7	1700	0	1700	1	1700	5329,9
1710	1612	1710	47,6	1710	0	1710	1	1710	5329,9
1720	1613	1720	48,8	1720	0	1720	1	1720	5329,9
1730	1614	1730	47,2	1730	0	1730	1	1730	5329,9
1740	1615	1740	47	1740	0	1740	1	1740	5329,9
1750	1616	1750	32,5	1750	0	1750	1	1750	5329,9
1760	1617	1760	48,6	1760	0	1760	1	1760	5329,9
1770	1618	1770	29,2	1770	0	1770	1	1770	5329,9
1780	1619	1780	27,4	1780	0	1780	1	1780	5329,9
1790	1620	1790	46,6	1790	0	1790	1	1790	5329,9
1800	1621	1800	26,9	1800	0	1800	1	1800	5329,9
1810	1622	1810	33	1810	0	1810	1	1810	5329,9
1820	1623	1820	27,1	1820	0	1820	1	1820	5329,9
1830	1624	1830	28,3	1830	0	1830	1	1830	5329,9
1840	1625	1840	27,1	1840	0	1840	1	1840	5329,9
1850	1626	1850	25,1	1850	0	1850	1	1850	5329,9
1860	1627	1860	25,5	1860	0	1860	1	1860	5329,9
1870	1628	1870	40,6	1870	0	1870	1	1870	5329,9
1880	1629	1880	29,4	1880	0	1880	1	1880	5329,9
1890	1630	1890	26,6	1890	0	1890	1	1890	5329,9
1900	1631	1900	31,9	1900	0	1900	1	1900	5329,9
1910	1632	1910	49,9	1910	0	1910	1	1910	5329,9
1920	1633	1920	33,8	1920	0	1920	1	1920	5329,9
1930	1634	1930	38	1930	0	1930	1	1930	5329,9
1940	1635	1940	37,6	1940	0	1940	1	1940	5329,9
1950	1636	1950	34,3	1950	0	1950	1	1950	5329,9
1960	1637	1960	48,8	1960	0	1960	1	1960	5329,9
1970	1638	1970	26,7	1970	0	1970	1	1970	5329,9
1980	1639	1980	34,2	1980	0	1980	1	1980	5329,9
1990	1640	1990	33,7	1990	0	1990	1	1990	5329,9
2000	1641	2000	28,5	2000	0	2000	1	2000	5329,9
2010	1642	2010	29,8	2010	0	2010	1	2010	5329,9
2020	1643	2020	31,2	2020	0	2020	1	2020	5329,9
2030	1644	2030	39,4	2030	0	2030	1	2030	5329,9
2040	1645	2040	48,9	2040	0	2040	1	2040	5329,9
2050	1646	2050	28,4	2050	0	2050	1	2050	5329,9
2060	1647	2060	26,8	2060	0	2060	1	2060	5329,9
2070	1648	2070	44,9	2070	0	2070	1	2070	5329,9
2080	1649	2080	44,4	2080	0	2080	1	2080	5329,9
2090	1650	2090	26,2	2090	0	2090	1	2090	5329,9
2100	1651	2100	38,9	2100	0	2100	1	2100	5329,9
2110	1652	2110	28,1	2110	0	2110	1	2110	5329,9
2120	1653	2120	48,7	2120	0	2120	1	2120	5329,9
2130	1654	2130	27	2130	0	2130	1	2130	5329,9
2140	1655	2140	48,4	2140	0	2140	1	2140	5329,9
2150	1656	2150	27,2	2150	0	2150	1	2150	5329,9
2160	1657	2160	26,9	2160	0	2160	1	2160	5329,9
2170	1658	2170	44,9	2170	0	2170	1	2170	5329,9
2180	1659	2180	28,5	2180	0	2180	1	2180	5329,9
2190	1660	2190	50,1	2190	0	2190	1	2190	5329,9
2200	1661	2200	43	2200	0	2200	1	2200	5329,9
2210	1662	2210	44,1	2210	0	2210	1	2210	5329,9
2220	1663	2220	46,8	2220	0	2220	1	2220	5329,9
2230	1664	2230	27	2230	0	2230	1	2230	5329,9
2240	1665	2240	36,2	2240	0	2240	1	2240	5329,9
2250	1666	2250	46,9	2250	0	2250	1	2250	5329,9
2260	1667	2260	46,7	2260	0	2260	1	2260	5329,9
2270	1668	2270	33	2270	0	2270	1	2270	5329,9
2280	1669	2280	45	2280	0	2280	1	2280	5329,9
2290	1670	2290	44,9	2290	0	2290	1	2290	5329,9
2300	1671	2300	45,2	2300	0	2300	1	2300	5329,9
2310	1672	2310	47	2310	0	2310	1	2310	5329,9
2320	1673	2320	56	2320	0	2320	1	2320	5329,9
2330	1674	2330	30,4	2330	0	2330	1	2330	5329,9
2340	1675	2340	26,6	2340	0	2340	1	2340	5329,9
2350	1676	2350	48,9	2350	0	2350	1	2350	5329,9
2360	1677	2360	47,7	2360	0	2360	1	2360	5329,9
2370	1678	2370	47,1	2370	0	2370	1	2370	5329,9
2380	1679	2380	41,5	2380	0	2380	1	2380	5329,9
2390	1680	2390	48	2390	0	2390	1	2390	5329,9
2400	1681	2400	43,6	2400	0	2400	1	2400	5329,9
2410	1682	2410	25,5	2410	0	2410	1	2410	5329,9
2420	1683	2420	21,7	2420	0	2420	1	2420	5329,9
2430	1684	2430	42,5	2430	0	2430	1	2430	5329,9
2440	1685	2440	28,5	2440	0	2440	1	2440	5329,9
